Each record represents a work of art that was painted by one of the artists in this database and is displayed in one of the museums in this database.  ,https://docs.google.com/spreadsheets/d/e/2PACX-1vSOwzF6ydDZFQflMt7U6VdBjwbj08C02gyESoFjOJ_JW5UBA26gYV8eGwWk51y4h3lH52A35yov7qWN/pub?gid=250719604&single=true&output=csv,"{""top"":10,""left"":116}
",,,,
650,Portrait of Camille Roulin,67,677,Post-Impressionism,16,20
651,Portrait of Doctor Felix Rey,31,677,Post-Impressionism,16,20
654,Portrait of Joseph Roulin,35,677,Post-Impressionism,19,24
657,Portrait of Madame Trabuc,34,677,Post-Impressionism,16,20
662,Prisoners Exercising (after Gustave Dore),31,677,Post-Impressionism,16,20
666,Road with Cypress and Star,43,677,Post-Impressionism,29,36
667,Roots and Tree Trunks,43,677,Post-Impressionism,24,12
669,Roses,35,677,Post-Impressionism,20,16
701,Seascape at Saintes-Maries,31,677,Post-Impressionism,24,18
702,Seascape Near Les Saintes Maries de la Mer,43,677,Post-Impressionism,24,19
703,Self-Portrait,68,677,Post-Impressionism,16,20
704,Self-Portrait,43,677,Post-Impressionism,16,20
707,Self-Portrait 1887,49,677,Post-Impressionism,16,20
708,Self-Portrait 1887,43,677,Post-Impressionism,16,20
710,Self-Portrait 1889,49,677,Post-Impressionism,21,26
712,Self-Portrait in Front of the Easel,57,677,Post-Impressionism,16,20
713,Self-Portrait with a Straw Hat,35,677,Post-Impressionism,16,20
714,Self-Portrait with Bandaged Ear,86,677,Post-Impressionism,16,20
715,Self-Portrait with Bandaged Ear and Pipe,40,677,Post-Impressionism,16,20
716,Self-Portrait with Felt Hat,43,677,Post-Impressionism,16,20
719,Self-Portrait with Straw Hat,43,677,Post-Impressionism,16,20
722,Shoes,35,677,Post-Impressionism,20,16
725,Skull with Burning Cigarette,43,677,Post-Impressionism,16,20
726,Snow Covered Field with a Harrow,43,677,Post-Impressionism,24,19
728,Starry Night Over the Rhone,49,677,Post-Impressionism,36,29
760,Still Life with Three Oranges,51,677,Post-Impressionism,16,20
761,Still Life of Oranges and Lemons with Blue Gloves,46,677,Post-Impressionism,20,16
762,Still Life with a Bouquet of Daisies,67,677,Post-Impressionism,24,16
763,Still Life with Bible,43,677,Post-Impressionism,20,16
764,"Still Life with Grapes, Apples, Pear and Lemons",68,677,Post-Impressionism,20,16
766,Still Life with Pears,43,677,Post-Impressionism,20,16
768,Still Life with Two Sunflowers,35,677,Post-Impressionism,16,20
770,Sunflowers,57,677,Post-Impressionism,19,24
771,Sunflowers,67,677,Post-Impressionism,16,20
773,"Sunflowers, 14 in a Vase",47,677,Post-Impressionism,29,37
776,Tatched Cottages in Cordeville,49,677,Post-Impressionism,36,29
780,The Church at Auvers Sur Oise,49,677,Post-Impressionism,29,37
781,The Courtesan (after Eisen),57,677,Post-Impressionism,24,40
783,The Dance Hall in Arles,49,677,Post-Impressionism,30,24
784,The Drinkers (after Daumier),68,677,Post-Impressionism,20,16
785,The Factory,51,677,Post-Impressionism,24,19
787,The Flowering Orchard,35,677,Post-Impressionism,16,20
788,The Fourteenth of July Celebration in Paris,43,677,Post-Impressionism,16,20
820,The Garden of the Asylum in Saint-Remy,36,677,Post-Impressionism,20,16
825,The Italian Woman,49,677,Post-Impressionism,16,20
827,The Night Café,31,677,Post-Impressionism,35,28
832,"The Poet, Portrait of Eugene Boch",49,677,Post-Impressionism,16,24
833,The Potato Eaters,43,677,Post-Impressionism,45,32
834,The Potato Eaters,57,677,Post-Impressionism,24,19
835,The Raising of Lazarus (after Rembrandt),43,677,Post-Impressionism,20,16
837,The Reaper,43,677,Post-Impressionism,16,20
838,The Red Vineyard,31,677,Post-Impressionism,37,30
840,Road Menders at Saint-Remy,53,677,Post-Impressionism,24,19
842,The Roofs of Paris,43,677,Post-Impressionism,32,26
843,The Smoker,51,677,Post-Impressionism,16,20
844,The Sower,57,677,Post-Impressionism,31,25
845,The Sower,43,677,Post-Impressionism,20,16
880,The White House at Night,34,677,Post-Impressionism,30,24
881,The White Orchard,43,677,Post-Impressionism,31,24
882,The Yellow House,57,677,Post-Impressionism,37,30
884,Trees and Undergrowth,43,677,Post-Impressionism,20,16
887,Two Crabs,57,677,Post-Impressionism,20,13
888,Two Diggers Among Trees,43,677,Post-Impressionism,16,20
889,Two Poplars in the Alpilles near Saint-Remy,53,677,Post-Impressionism,26,32
891,Undergrowth,43,677,Post-Impressionism,20,16
892,Vase of Roses,35,677,Post-Impressionism,29,37
897,Vase with Irises Against a Yellow Background,57,677,Post-Impressionism,29,36
899,Vase with Oleanders and Books,35,677,Post-Impressionism,24,18
908,View of Arles with Irises in the Foreground,43,677,Post-Impressionism,20,16
909,View of Auvers,43,677,Post-Impressionism,20,20
942,View of Vessenots Near Auvers,56,677,Post-Impressionism,20,16
944,Vincent Chair with His Pipe,47,677,Post-Impressionism,29,37
945,"Vincent Room at Arles, the Bedroom",49,677,Post-Impressionism,36,29
950,Wheatfield,43,677,Post-Impressionism,20,16
951,Wheatfield Under Thunderclouds,43,677,Post-Impressionism,40,20
952,Wheatfield with a Lark,43,677,Post-Impressionism,20,16
953,Wheatfield with a Reaper,57,677,Post-Impressionism,37,29
955,Wheatfield with Crows,57,677,Post-Impressionism,41,20
956,Wheatfield with Cypresses at the Haute Galline,35,677,Post-Impressionism,37,29
960,Women Picking Olives,35,677,Post-Impressionism,36,29
1364,A Lady Writing a Letter,46,574,Baroque,24,30
1366,A Maid Asleep,35,574,Baroque,20,24
1376,Girl with a Flute,43,574,Baroque,20,24
1380,Girl with a Red Hat,46,574,Baroque,19,24
1382,Head of a Girl,35,574,Baroque,20,20
1384,Lady Seated at a Virginal,43,574,Baroque,24,24
1392,The Allegory of Faith,35,574,Baroque,19,24
1396,The Astronomer,40,574,Baroque,24,30
1398,The Concert,43,574,Baroque,30,30
1400,The Geographer,43,574,Baroque,24,30
1402,The Glass of Wine,43,574,Baroque,24,19
1406,The Lacemaker,40,574,Baroque,20,24
1408,The Love Letter,43,574,Baroque,19,24
1410,The Milkmaid,43,574,Baroque,19,24
1414,View of Houses in Delft,43,574,Baroque,19,24
1416,Woman Holding a Balance,46,574,Baroque,24,30
1418,Woman in Blue Reading a Letter,43,574,Baroque,19,24
1420,Woman with a Lute Near a Window,35,574,Baroque,19,24
1424,Young Woman Standing at a Virginal,47,574,Baroque,19,24
1426,Young Woman with a Water Pitcher,35,574,Baroque,19,24
1431,A Modern Olympia,49,872,Impressionism,20,16
1433,An Old Woman with a Rosary,47,872,Impressionism,16,20
1439,Apples,35,872,Impressionism,24,16
1443,Avenue at Chantilly,47,872,Impressionism,16,20
1445,Bathers,47,872,Impressionism,20,13
1447,Bathers,35,872,Impressionism,20,16
1449,Bathers at Rest,51,872,Impressionism,24,19
1451,Bay of l'Estaque,67,872,Impressionism,20,16
1455,Boy in a Red Vest,51,872,Impressionism,19,24
1459,Boy With a Straw Hat,60,872,Impressionism,16,20
1463,Chateau Noir,40,872,Impressionism,20,16
1465,"Compotier, Pitcher, and Fruit",51,872,Impressionism,24,19
1467,"Containers, Fruit, Dishcloth",34,872,Impressionism,20,16
1469,Dahlias,49,872,Impressionism,16,20
1471,Dish of Apples,35,872,Impressionism,20,16
1475,Flowers in a Small Deflt Vase,49,872,Impressionism,16,24
1479,Gardanne,35,872,Impressionism,24,16
1481,Gardanne,51,872,Impressionism,19,24
1483,Ginger Jar and Fruit,51,872,Impressionism,16,20
1485,Group of Bathers,67,872,Impressionism,24,16
1487,Gustave Boyer in a Straw Hat,35,872,Impressionism,16,24
1489,Hillside in Provence,47,872,Impressionism,20,16
1495,Landscape with Poplars,47,872,Impressionism,16,20
1499,L'Estaque,49,872,Impressionism,20,16
1501,Madame Cézanne in the Conservatory,35,872,Impressionism,16,20
1503,Madame Cézanne in a Red Dress,35,872,Impressionism,35,46
1509,Mardi Gras,31,872,Impressionism,16,20
1511,Melting Snow at Fontainebleau,35,872,Impressionism,24,16
1513,Millstone in the Park of the Chateau Noir,67,872,Impressionism,20,16
1515,Mont Sainte-Victoire,67,872,Impressionism,20,16
1519,Mont Sainte-Victoire,34,872,Impressionism,24,19
1521,Nudes in Landscape,51,872,Impressionism,24,16
1525,The Peasant,46,872,Impressionism,16,20
1527,Portrait of Anthony Valabregue,55,872,Impressionism,16,20
1529,Portrait of Antonin Valabregue,46,872,Impressionism,16,20
1531,Portrait of Louis Guillaume,46,872,Impressionism,16,20
1533,Portrait of Madame Cézanne,67,872,Impressionism,16,20
1535,Portrait of Madame Cézanne,67,872,Impressionism,16,20
1537,Portrait of the Artist's Father,46,872,Impressionism,16,24
1539,"Quartier Four, Auvers-sur-Oise (Landscape, Auvers)",67,872,Impressionism,20,16
1543,Self-Portrait,49,872,Impressionism,16,20
1546,Self-Portrait with Hat,34,872,Impressionism,16,20
1552,Still Life with a Ginger Jar and Eggplants,35,872,Impressionism,36,29
1554,Still Life with Apples,35,872,Impressionism,20,16
1556,Still Life with Apples and a Glass of Wine,67,872,Impressionism,20,16
1560,Still Life with Apples and Pears,35,872,Impressionism,20,16
1562,Still Life with Curtain and Flowered Pitcher,34,872,Impressionism,24,19
1564,Still Life with Green Pot and Pewter Jug,49,872,Impressionism,20,16
1566,"Still Life with Jar, Cup, and Apples",35,872,Impressionism,20,16
1570,Still Life with Plate of Cherries,60,872,Impressionism,20,16
1572,"Study, Landscape at Auvers",67,872,Impressionism,20,16
1574,"Table, Napkin, and Fruit",51,872,Impressionism,24,19
1576,The Bathers,49,872,Impressionism,24,16
1578,The Blue Vase,49,872,Impressionism,16,20
1580,The Bridge at Maincy,49,872,Impressionism,20,16
1582,The Card Players,35,872,Impressionism,32,26
1584,The Card Players,51,872,Impressionism,30,24
1586,The Card Players,40,872,Impressionism,22,19
1590,The Eternal Feminine,55,872,Impressionism,20,16
1592,"The Fishermen, Fantastic Scene",35,872,Impressionism,24,16
1594,The Grounds of the Chateau Noir,47,872,Impressionism,16,20
1596,The Gulf of Marseilles,35,872,Impressionism,20,16
1598,The House of Pere Lacroix at Auvers,46,872,Impressionism,16,20
1600,The House with the Cracked Walls,35,872,Impressionism,16,20
1602,The Large Bathers,67,872,Impressionism,24,19
1604,"The Painter's Father, Louis-Auguste Cézanne",47,872,Impressionism,20,30
1608,The Pool at the Jas de Bouffan,35,872,Impressionism,20,16
1610,The Smoker,34,872,Impressionism,16,20
1618,View of the Domaine Saint-Joseph,35,872,Impressionism,20,16
1622,"Well, Millstone and Cistern Under Trees",51,872,Impressionism,24,19
1624,Woman with a Coffee Pot,49,872,Impressionism,24,30
1626,Young Italian Woman at a Table,55,872,Impressionism,29,36
1942,Ginevra de Benci,40,815,Renaissance,20,20
1944,Hahn's La Belle Ferroniere,40,815,Renaissance,20,24
1948,Leda and a Swan,40,815,Renaissance,29,36
1950,Mona Lisa (La Gioconda),40,815,Renaissance,21,30
1952,Mona Lisa or The Joconde,50,815,Renaissance,22,30
1954,Narcissus,47,815,Renaissance,24,24
1956,Saint John the Baptist,40,815,Renaissance,16,20
1958,The Lady with an Ermine,40,815,Renaissance,16,24
1964,The Madonna and Child,34,815,Renaissance,19,24
1966,The Virgin and Child,47,815,Renaissance,16,24
1968,The Virgin and the Child with St. Anne,40,815,Renaissance,19,24
1970,Tobias and the Angel,46,815,Renaissance,19,24
2020,A Row of Poplars,67,550,Impressionism,16,24
2024,Antibes Seen from the Salis Gardens,59,550,Impressionism,20,16
2032,"Arrival of the Normandy Train, Gare Saint-Lazare",68,550,Impressionism,32,24
2040,Bathing at La Grenouillère,47,550,Impressionism,36,29
2044,Bend in the Epte River near Giverny,67,550,Impressionism,36,29
2050,Blue Water Lilies,49,550,Impressionism,24,24
2052,Boats on the Beach at Ã‰tretat,68,550,Impressionism,32,26
2054,Bordighera,68,550,Impressionism,32,26
2056,Boulevard des Capucines,39,550,Impressionism,24,32
2060,Bouquet of Sunflowers,35,550,Impressionism,32,40
2062,Bridge at Argenteuil on a Gray Day,46,550,Impressionism,24,19
2064,Bridge Over a Pond of Water Lilies,35,550,Impressionism,29,37
2068,Cabin of the Customs Watch,35,550,Impressionism,30,24
2074,Camille Monet in the Garden at Argenteuil,35,550,Impressionism,16,24
2076,Camille Monet on a Garden Bench,35,550,Impressionism,32,24
2078,Quarries Saint-Denis,49,550,Impressionism,24,16
2080,Charing Cross Bridge,69,550,Impressionism,39,29
2082,Charing Cross Bridge II,56,550,Impressionism,24,16
2084,"Charing Cross Bridge, Overcast Weather",68,550,Impressionism,30,20
2092,Chrysanthemums,35,550,Impressionism,40,32
2098,Clifftop Walk at Pourville,68,550,Impressionism,33,26
2100,"Customhouse, Varengeville",67,550,Impressionism,32,24
2102,Dr. Leclenche,35,550,Impressionism,16,24
2104,Entrance to the Port of Trouville,52,550,Impressionism,26,21
2118,"Field of Poppies, Argenteuil",49,550,Impressionism,24,18
2122,Fishing Boats Leaving the Port of Le Havre,60,550,Impressionism,24,16
2132,Four Poplar Trees,35,550,Impressionism,20,20
2140,Grainstacks,68,550,Impressionism,20,16
2142,"Stacks of Wheat (Sunset, Snow Effect)",68,550,Impressionism,40,26
2144,Stacks of Wheat (End of Summer),68,550,Impressionism,40,24
2146,"Grainstacks at the End of Summer, Morning Effect",68,550,Impressionism,36,26
2152,"Grainstacks, White Frost Effect",35,550,Impressionism,24,16
2156,"Green Park, London",67,550,Impressionism,32,16
2160,Haystack at Giverny,34,550,Impressionism,24,19
2168,Heavy Sea at Pourville,35,550,Impressionism,20,13
2170,"Hotel of Roches Noires, Trouville",49,550,Impressionism,23,32
2174,"Houses of Parliament, Fog Effect",35,550,Impressionism,36,32
2178,"Houses of Parliament, London",49,550,Impressionism,36,32
2180,"Houses of Parliament, Seagulls",31,550,Impressionism,20,16
2188,"Houses of Parliament, London",68,550,Impressionism,37,32
2192,Ice Floes,35,550,Impressionism,24,16
2194,Ice Flows on the Seine at Bougival,40,550,Impressionism,20,16
2196,Flower Island Near Vétheuil,35,550,Impressionism,20,16
2198,Impression Sunrise,72,550,Impressionism,25,19
2200,In the Norvegienne,49,550,Impressionism,24,16
2202,In the Woods at Giverny,60,550,Impressionism,24,24
2206,The Artist's Garden at Giverny,49,550,Impressionism,37,32
2208,"Japanese Footbridge, Giverny",67,550,Impressionism,39,31
2212,Jean Monet on His Mechanical Horse,35,550,Impressionism,29,24
2214,Jeanne-Marguerite Lecadre in the Garden,34,550,Impressionism,39,32
2218,La Grenouillère,35,550,Impressionism,39,29
2224,"Lane in the Poppy Field, Ile Saint-Martin",35,550,Impressionism,16,24
2228,The Boulevard of Capucines,49,550,Impressionism,20,16
2238,"Madame Monet in a Japanese Costume, La Japonaise",42,550,Impressionism,56,91
2240,"Manne-Porte, Étretat",67,550,Impressionism,32,26
2242,Marine View with a Sunset,67,550,Impressionism,20,16
2248,Morning at Antibes,67,550,Impressionism,32,26
2250,Morning Haze,67,550,Impressionism,24,16
2252,Morning Haze,67,550,Impressionism,40,26
2258,"Nymphéas, Japanese Bridge",67,550,Impressionism,35,37
2272,Palm Trees at Bordighera,35,550,Impressionism,20,16
2278,"Poplars, Three Trees in Autumn",67,550,Impressionism,29,36
2280,"Poplars at Giverny, Sunrise",30,550,Impressionism,20,16
2290,"Poplars, White and Yellow Effect",67,550,Impressionism,26,40
2294,Poppy Field,34,550,Impressionism,24,16
2296,"Poppy Field, Argenteuil",35,550,Impressionism,24,16
2304,Portrait of Madame Gaudibert,49,550,Impressionism,16,24
2310,"Railroad Bridge, Argenteuil",67,550,Impressionism,24,16
2312,Rapids on the Petite Creuse at Fresselines,35,550,Impressionism,24,16
2316,Reflections of Clouds on the Water-Lily Pond,30,550,Impressionism,48,24
2318,Regatta at Argenteuil,49,550,Impressionism,24,16
2320,Regatta at Sainte-Adresse,35,550,Impressionism,24,16
2334,Rouen Cathedral: The Portal (Sunlight),35,550,Impressionism,16,24
2336,"Rouen Cathedral, West Facade",46,550,Impressionism,16,24
2338,Rough Weather at Étretat,35,550,Impressionism,20,16
2358,Spring Fruit Trees in Bloom,35,550,Impressionism,24,16
2362,Springtime,73,550,Impressionism,26,20
2364,Still Life with Flowers and Fruit,55,550,Impressionism,19,24
2366,Still Life with Grapes and Apples,35,550,Impressionism,20,16
2372,Summer,49,550,Impressionism,24,16
2374,Sunrise (Marine),55,550,Impressionism,20,16
2384,"Storm, Cotes de Belle-Île",49,550,Impressionism,20,16
2386,Garden at Sainte-Adresse,35,550,Impressionism,51,39
2388,The Artist's Garden at Vétheuil,46,550,Impressionism,24,30
2390,The Artist's House at Argenteuil,68,550,Impressionism,29,24
2394,The Basin at Argenteuil,49,550,Impressionism,36,24
2396,"Étretat, The Beach and the Falaise d’Amont",68,550,Impressionism,27,26
2398,The Beach at Sainte-Adresse,68,550,Impressionism,40,30
2400,The Beach at Trouville,47,550,Impressionism,20,16
2406,The Boat Studio,51,550,Impressionism,24,28
2408,"The Bodmer Oak, Fontainebleau Forest",35,550,Impressionism,20,16
2412,The Bridge at Argenteuil,49,550,Impressionism,31,24
2418,The Bridge Over the Water-Lily Pond,68,550,Impressionism,20,16
2420,The Chailly Highway,49,550,Impressionism,24,16
2434,The Coalman,49,550,Impressionism,30,24
2442,The Flowered Garden,46,550,Impressionism,24,24
2446,The Garden at Argenteuil (The Dahlias),46,550,Impressionism,33,24
2452,The Train Station Saint-Lazare,49,550,Impressionism,20,13
2454,The Grand Canal,42,550,Impressionism,36,29
2458,The Hoschedes Garden at Montgeron,34,550,Impressionism,24,24
2466,The Japanese Bridge,72,550,Impressionism,39,35
2472,The Japanese Bridge at Giverny,30,550,Impressionism,20,20
2482,The Luncheon,49,550,Impressionism,79,63
2484,The Luncheon II,35,550,Impressionism,16,24
2486,The Magpie,49,550,Impressionism,51,35
2488,The Manne-Porte near Étretat,35,550,Impressionism,16,20
2492,"The Manne-Porte, Étretat",35,550,Impressionism,20,16
2498,The Parc Monceau,35,550,Impressionism,16,20
2500,"The Parc Monceau, Paris",35,550,Impressionism,24,16
2504,The Path Through the Irises,35,550,Impressionism,20,20
2510,The Portal in the Sun,35,550,Impressionism,16,24
2512,The Portal of Rouen Cathedral at Midday,72,550,Impressionism,26,39
2514,The Portal of Rouen Cathedral in Morning Light,55,550,Impressionism,16,24
2516,The Railroad Bridge in Argenteuil,49,550,Impressionism,20,16
2518,The Road Bridge at Argenteuil,46,550,Impressionism,31,24
2522,The Saint-Lazare Station,49,550,Impressionism,41,30
2524,The Seine at Vétheuil,35,550,Impressionism,24,16
2526,The Sheltered Path,67,550,Impressionism,20,16
2528,"The Stroller, Suzanne Hoschede",35,550,Impressionism,16,24
2530,The Studio Boat,74,550,Impressionism,25,20
2532,The Valley of the Nervia,35,550,Impressionism,20,16
2536,The Water-Lily Pond,35,550,Impressionism,79,40
2554,Tulip Fields in Holland,49,550,Impressionism,20,16
2556,Turkeys,49,550,Impressionism,20,20
2558,Twilight Venice (San Giorgio Maggiore at Dusk),75,550,Impressionism,36,26
2560,"Under the Pines, Evening",67,550,Impressionism,36,29
2568,"Vétheuil, at Sunset",68,550,Impressionism,36,37
2570,"Vétheuil, Effect Rose",68,550,Impressionism,37,35
2572,Vétheuil in Summer,35,550,Impressionism,24,16
2574,Vétheuil in the Morning,72,550,Impressionism,24,24
2576,Vétheuil Landscape,49,550,Impressionism,20,13
2578,"View of Argenteuil, Snow",49,550,Impressionism,20,16
2580,View of Vétheuil,35,550,Impressionism,16,20
2582,Villas at Bordighera,49,550,Impressionism,20,16
2584,Water Lilies 1,60,550,Impressionism,24,16
2608,Water Lilies 13,47,550,Impressionism,32,16
2616,Water Lilies 17,35,550,Impressionism,24,16
2622,Water Lilies 1906,68,550,Impressionism,37,35
2626,Water Lilies 1914-17,49,550,Impressionism,20,20
2628,Water Lilies 1914-19,49,550,Impressionism,20,20
2630,Water Lilies 1916-19,49,550,Impressionism,20,16
2632,Water Lilies 18,35,550,Impressionism,32,16
2634,Water Lilies 19,35,550,Impressionism,24,24
2644,"Water Lillies, Setting Sun",47,550,Impressionism,20,16
2650,Water-Lily Pond,47,550,Impressionism,20,20
2652,Water-Lily Pond,47,550,Impressionism,35,37
2656,"Water-Lily Pond, Symphony in Rose",49,550,Impressionism,20,16
2660,Waterloo Bridge,34,550,Impressionism,37,26
2662,"Waterloo Bridge, Morning Fog",67,550,Impressionism,39,26
2666,"Waterloo Bridge, Sunlight Effect",68,550,Impressionism,40,26
2672,Weeping Willow,76,550,Impressionism,43,52
2676,"Wheatstacks, Snow Effect, Morning",55,550,Impressionism,24,16
2682,Woman with a Parasol,46,550,Impressionism,32,39
2684,Woman with a Parasol Facing Left,49,550,Impressionism,16,24
2686,Woman with a Parasol Facing Right,49,550,Impressionism,16,24
2688,Women in a Garden,49,550,Impressionism,29,36
2690,Wood Lane,67,550,Impressionism,16,24
2701,Zaandam,49,550,Impressionism,24,16
2711,Achille Degas in the Uniform of a Cadet,46,598,Impressionism,16,20
2713,After the Bath,55,598,Impressionism,20,16
2716,"After the Bath, Woman Drying Herself",47,598,Impressionism,20,20
2720,At the Milliner's,30,598,Impressionism,20,20
2722,At the Milliner's,35,598,Impressionism,20,20
2724,At the Milliner's,35,598,Impressionism,20,20
2728,Ballerina and Lady with a Fan,67,598,Impressionism,16,20
2732,Ballet Class,67,598,Impressionism,24,24
2734,Ballet Dancers,47,598,Impressionism,20,20
2740,Ballet Rehearsal on Stage,49,598,Impressionism,24,19
2742,Ballet Scene,46,598,Impressionism,24,16
2744,Bather Stepping Into a Tub,35,598,Impressionism,18,24
2746,Beach Scene,47,598,Impressionism,20,13
2748,Before the Race,46,598,Impressionism,20,16
2756,"Combing the Hair, La Coiffure",47,598,Impressionism,24,19
2758,Dance Class,35,598,Impressionism,24,16
2760,Dance Class at the Opera,49,598,Impressionism,24,16
2766,Dancer Onstage,35,598,Impressionism,24,19
2768,Dancer Posing,31,598,Impressionism,16,20
2776,Dancer with a Fan,35,598,Impressionism,16,20
2786,Dancers,51,598,Impressionism,16,20
2794,Dancers in Blue,49,598,Impressionism,30,34
2798,Dancers in the Rehearsal Room with a Double Bass,35,598,Impressionism,32,16
2800,"Dancers, Pink and Green",35,598,Impressionism,13,20
2804,Dancers Practicing at the Barre,35,598,Impressionism,20,20
2812,Four Ballerinas Behind the Stage,31,598,Impressionism,20,20
2814,Four Dancers,46,598,Impressionism,20,16
2820,Hilaire Rouart in Her Father's Study,47,598,Impressionism,16,20
2824,Interior,67,598,Impressionism,24,16
2826,James-Jacques-Joseph Tissot,35,598,Impressionism,16,20
2834,Laundry Girls Ironing,49,598,Impressionism,20,20
2836,Madame Jeantaud at the Mirror,49,598,Impressionism,20,20
2838,Madame Rene De Gas,46,598,Impressionism,20,16
2842,Miss La La at the Cirque Fernando,62,598,Impressionism,16,24
2850,Portrait of a Woman in Gray,35,598,Impressionism,16,20
2854,Portraits at the Stock Exchange,35,598,Impressionism,16,20
2856,Before The Race,53,598,Impressionism,24,19
2860,Racehorses,35,598,Impressionism,24,19
2864,Racehorses at Longchamp,46,598,Impressionism,20,16
2866,Racehorses Before the Stands,49,598,Impressionism,20,16
2868,Racehorses in a Landscape,56,598,Impressionism,30,24
2872,Rehearsal of Ballet on the Stage,35,598,Impressionism,24,16
2878,Sulking,35,598,Impressionism,24,16
2880,The Absinthe Drinker,49,598,Impressionism,16,24
2882,The Beach,47,598,Impressionism,24,16
2884,The Bellelli Family,49,598,Impressionism,20,16
