major_id,major_name,department,college
recRVos7lYC2AKxWa,Aircraft Maintenance Technician - Airframe and Powerplant,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
recRbVDDBTAKuPP8n,Sociology,"Sociology, Social Work and Anthropology Department",College of Humanities and Social Sciences
recRh1Wiy5jfwIYBR,Geography,Environment and Society Department,College of Natural Resources
recRobSaHLmdlYNb1,History,History Department,College of Humanities and Social Sciences
recRr6ygYJ73AN6YP,Asian Studies,Asian Studies Program,College of Humanities and Social Sciences
recSA6imaVN0pjKzD,Agribusiness,Applied Economics Department,College of Agriculture and Applied Sciences
recT9LoDnC8ZvdPqM,Business Education,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
recUXelhanME9CfJN,Health Education and Promotion,Kinesiology and Health Science Department,College of Education & Human Services
recVNDNQrJxsXPFXa,Portuguese,"Languages, Philosophy and Communication Studies Department",College of Humanities and Social Sciences
recVYIFAwjT91pnv7,Physics Teaching,Physics Department,College of Science
recVeoVlIsO6k6iUM,Chinese,"Languages, Philosophy and Communication Studies Department",College of Humanities and Social Sciences
recW65GeDcH9NqJ8x,Medical Laboratory Technician,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
recWLemLx4KJvtWpb,Biology,Biology Department,College of Science
recXLfKqMqRArcKNg,Agricultural Education,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
recXNkQGvzEThZhG3,Music Therapy,Music Department,College of the Arts
recZMGS3varqr5TOI,Anthropology,"Sociology, Social Work and Anthropology Department",College of Humanities and Social Sciences
recaCi0HRhiGc6Pi7,Criminal Justice,"Sociology, Social Work and Anthropology Department",College of Humanities and Social Sciences
recaJdSK83k6ekRJL,Nutrition Science,"Nutrition, Dietetics, and Food Sciences Department",College of Agriculture and Applied Sciences
recc4qoqhpUrEYE5g,Climate Science,"Plants, Soils, and Climate Department",College of Agriculture and Applied Sciences
recd1Su8L4DV8CQsR,Marketing,Marketing and Strategy Department,School of Business
recd4JTuI0ssyoz07,Dietetics,"Nutrition, Dietetics, and Food Sciences Department",College of Agriculture and Applied Sciences
recdIBgeU38UbV2sy,Civil Engineering,Civil and Environmental Engineering Department,College of Engineering
recdem96jNnpiXfsH,Management Information Systems,Management Information Systems Department,School of Business
recerLFT51xdPQUSX,Early Childhood Education,School of Teacher Education and Leadership,College of Education & Human Services
recf3mPmWq4JXKf4L,International Business,Marketing and Strategy Department,School of Business
recgZpzqlHMMd8sbM,Mechanical Engineering,Mechanical and Aerospace Engineering Department,College of Engineering
recgbn2VvmEBWmuUi,Soils and Sustainable Land Systems,"Plants, Soils, and Climate Department",College of Agriculture and Applied Sciences
recgszEfeJ5j1n90X,Management,Management Department,School of Business
recibyDMerbnhPsja,Social Work,"Sociology, Social Work and Anthropology Department",College of Humanities and Social Sciences
reck56gwpvllAW5G3,Residential Landscape Design and Construction,"Plants, Soils, and Climate Department",College of Agriculture and Applied Sciences
reckKqh5Ls0AAJOXD,Nursing,Nursing and Health Professions,College of Education & Human Services
reckPDbeLc8ogfvWo,Biochemistry,Chemistry and Biochemistry Department,College of Science
reckRkMHHJZLGuBVm,Interdisciplinary Studies,Interdisciplinary Studies Program,College of Agriculture and Applied Sciences
reckcN6TKiMpVCBGB,Plant Science,"Plants, Soils, and Climate Department",College of Agriculture and Applied Sciences
reckd29hkJ9kXf5B3,German,"Languages, Philosophy and Communication Studies Department",College of Humanities and Social Sciences
reclB5kTwcT03BVV8,Mathematics Education,Mathematics and Statistics Department,College of Science
reclQ8BVvj2w4cQ4V,Environmental Engineering,Civil and Environmental Engineering Department,College of Engineering
recnFo4aTEqcyFUnJ,Diesel and Heavy Equipment Mechanics,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
recnM17foA2yfWMXC,American Studies,English Department,College of Humanities and Social Sciences
recr0WVEPZ08hl4Wt,Welding Technology,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
recrVJyCL0EoMvn6V,Computer Science,Computer Science Department,College of Science
recs1FNpEJhYPZ6so,Military Science,Military Science Program,College of Humanities and Social Sciences
recsI2B6p1FUQtTlq,Chemistry,Chemistry and Biochemistry Department,College of Science
recsdOzk4ps60FEeN,Aviation Technology - Professional Pilot,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
recsiWnUNDT2kmOnr,Landscape Architecture,Landscape Architecture and Environmental Planning Department,College of Agriculture and Applied Sciences
rect9iFKlDB9ikBts,Art,Art and Design Department,College of the Arts
rectOU2QnznthfWv7,Computer Engineering,Electrical and Computer Engineering Department,College of Engineering
rectez0Ce1okUhv8w,Human Experience Design and Interaction,Instructional Technology and Learning Sciences Department,College of Education & Human Services
recuN6taqCVkaZMZS,Conservation and Restoration Ecology,Wildland Resources Department,College of Natural Resources
recuv3Nj4esENfIZW,Accounting,School of Accountancy,School of Business
recvCrHgQbHOGMgoB,Technology and Engineering Education,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
recvnA0a0VEcSufAm,Music,Music Department,College of the Arts
recwCJlWtYMGchYSK,Cosmetology,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
recwG0S7hT0sYKyPm,French,"Languages, Philosophy and Communication Studies Department",College of Humanities and Social Sciences
recxK3MHQFbR9J5uO,Business,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
recxRBSgVYeSEGvyo,Law and Constitutional Studies,Political Science Department,College of Humanities and Social Sciences
recyu9wdSJrfSgmG5,Family Life Studies,Human Development and Family Studies Department,College of Education & Human Services
recz2waxrgL2KJEHe,Art History,Art and Design Department,College of the Arts
